"constraint_type","preserved_evidence","analytic_status","implication"
"source identity","Filename/title identify DOW-UAP-D25, Mission Report, Greece, January 2024","source identity preserved","Use D25 as source ID for the Greece/SWIR report-content lane."
"PR28 label relationship","DVIDS PR28 names DoW-UAP-D7, but PR28 body summary matches D25 and conflicts with local/War.gov D7","official-source discrepancy","Treat DOD_111688954 as hard PR28 media and D25 as written-report content match unless an official correction appears."
"event time","Initial contact and DoD acquisition date are 250509:00ZJAN24","strong preserved anchor","Useful for matching to mission logs and source video."
"event serial","250509ZJAN2024-CENTCOM 001","strong preserved anchor","Useful for future source requests or log matching."
"mission context","USCENTCOM / 603rd; AFSOC / 33 SOS; ISR mission; LGLR takeoff and landing; target pod AN/DAS-4; primary sensor FMV","strong contextual anchor","Places the event in a structured mission report, not a standalone visual anecdote."
"sensor/media context","UAP signature SWIR WHT; report says only appeared on SWIR camera; DVIDS PR28 is DOD_111688954 multi-sensor video","strong media-context match","Supports PR28/D25 as a hard media-plus-report-content lane despite D7 label caveat."
"description","Round diamond shape with straight non-maneuverable tail/probe; DVIDS describes inverted-teardrop contrast with vertically linear trailing mass","report-derived and visually aligned","Use as morphology-description lane, not proof of physical appendage or exact shape."
"duration","Gentext says event lasted about two minutes, ending at 0511Z","strong report claim","Public PR28 clip is 66 seconds and does not by itself cover the full reported duration."
"movement","Maintained steady flight path, increased/decreased altitude profile, did not change trajectory; kinetic trajectory W estimated","structured report claim","Supports a simple motion lane, not a full kinematic reconstruction."
"speed","Gentext reports approximate 434 KNOTS; structured kinetic velocity field is blank","estimated report claim with field caveat","Do not independently validate physical speed without FOV, range, platform motion, and telemetry."
"altitude","Kinetic altitude FL200 estimated; friendly aircraft altitude FL250","report-derived field and platform context","Do not use the public MP4 to validate altitude."
"coordinates","First redacted 35SQT44 lane and last redacted 35SPT63 lane; both radii 20; first and last accuracy estimated","partly preserved","Useful lane-level geospatial evidence, but exact coordinates are redacted."
"negative controls","Observer assessment benign; no interrogation; no third-party observers; no effects on persons/equipment; no recovered material; advanced capabilities/materials NO","useful controls","Supports unresolved benign observation lane; does not close conventional or sensor explanations."
"public video support","Local phase review found 86/92 high-or-medium detections during full-screen SWIR and 0/18 during black-hot non-reacquisition","visual sequence support","Supports SWIR-only sequence, not speed/range/size/physical-shape validation."
"kinematic limits","Public report/video lack source FOV, slant range, platform/gimbal motion, raw telemetry, and exact track data","public data insufficient","Keep 434 KNOTS and FL200 report-derived; no public physical-performance claim is defensible."
