"field","preserved_value","strength","use","caveat","follow_up"
"source identity","dow-uap-d65-mission-report-persian-gulf-july-2020.pdf; MISREP 4472514","strong filename/source anchor","Use as D65 source identity","No public PR/video pairing known","Search official release metadata for D65, MISREP 4472514, and observation times"
"mission context","NAVCENT mission in Arabian Gulf / Strait of Hormuz / Gulf of Oman lane","strong mission context","Use in Gulf/Strait 2020 pattern analysis","Does not by itself identify any object","Request full mission package and unredacted tasking context"
"mission timing","Takeoff 160443:00ZJUL20; ISR 160552:00ZJUL20 to 170012:00ZJUL20; RTB 0012Z; landing 170200:00ZJUL20","strong context with internal duration noise","Use to bound mission window","Narrative duration and landing-block duration differ","Request full mission timeline and logs"
"sensor context","TGT pod/primary sensor OCR as ANDAS4; G-MESH/AH_GMESH available; method FMV; FMV exploited by DGS-1","strong source context with OCR caveat","Use as sensor/source-quality anchor","Public release lacks raw FMV, FOV, pointing, and platform state","Request AN/DAS-4 FMV, FOV, pointing, and DGS-1 exploitation notes"
"observation 1","161830:00ZJUL20; aircraft partial 39RXK3; heading 152M; FL200; 98 KIAS; observed activity partial 39RVM; UAP; FMV","strong observation anchor","Use as first D65 FMV UAP row","No range, object altitude, object speed, object size, or video public","Request raw FMV and unredacted observed activity grid"
"observation 2","161920:00ZJUL20; aircraft location OCR likely partial 39RUN; heading 34M; FL190; 90 KIAS; observed activity partial 39RUN; UAP; FMV","strong observation anchor with OCR caveat","Use as second D65 FMV UAP row","OCR is noisy; no object-level kinematics public","Request raw FMV and unredacted aircraft/observed grids"
"observation 3","162345:00ZJUL20; aircraft partial 39RUN; heading 331M; FL191; 115 KIAS; observed activity 39RUN6234236874; UAP; FMV","strong observation and geospatial anchor","Use as strongest D65 row","No range, trajectory, object altitude, object speed, or video public","Request raw FMV, platform/sensor telemetry, and exploitation notes"
"decoded grid","39RUN6234236874 -> approx 29.253233N, 49.583281E","strong local decode","Use to confirm at least one D65 observation is in the northern Persian Gulf lane","Only row 3 has a full readable grid","Request unredacted grids for rows 1 and 2"
"weather","Each UAP observation says WEATHER WAS NOT A FACTOR","medium source-stated control","Use as observation-block weather note","Does not establish optical clarity, range, or sensor quality","Request weather imagery and sensor metadata"
"guard call context","160615:00ZJUL20 guard call near partial 39RUN; standard response; no mission impact","medium environment context","Use as regional mission-context note","Not linked to the UAP observations","Keep separate unless source evidence links it"
"reporting density","Three FMV UAP observations in one mission","strong pattern anchor","Use to rank D65 as densest mission in D60-D65","Does not prove same object, linked objects, or anomalous behavior","Compare with raw FMV and operator notes"
"unsupported claims","object speed, object altitude, object size, range, bearing, trajectory, anomalous acceleration, exotic origin","analytic constraint","Prevent overclaiming","Public release does not preserve data needed for these claims","Promote only with raw sensor/telemetry evidence"
