"constraint_type","preserved_evidence","analytic_status","implication"
"source identity","Filename/title identify DOW-UAP-D27, Mission Report, United Arab Emirates, October 2023; body timeline and UAP fields are June 2024","metadata/date mismatch","Use D27 as source ID and June 2024 body timeline for event analysis; retain October 2023 title as release metadata caveat."
"event time","Initial contact and DoD acquisition date are 070457:00ZJUN24","strong preserved anchor","Useful for matching to mission logs and PR29 source material."
"event serial","Printed as 060457ZJUN2024-CENTCOM while initial contact is 070457:00ZJUN24","internal date mismatch","Preserve both values; do not silently normalize the serial to the contact date."
"mission context","Operation ENDURING SENTINEL; USCENTCOM / 609th; AFSOC / 3 SOS; ISR mission; OMAM takeoff and landing","strong contextual anchor","Places the event in a real mission timeline, not a standalone visual anecdote."
"sensor/media context","Target pod AN/DAS-1, FMV-supported NIB windows, and DVIDS PR29 infrared video DOD_111688964","strong context with label caveat","D27 is the report-content match to PR29, but DVIDS labels the accompanying report D8."
"description","Glowing hot spherical object with vertical unwavering cylindrical pole/bar; possible reflection from the object in water","strong report claim; visually plausible in PR29","Use as report/video-alignment description, not proof of a physical appendage."
"movement","Flying straight just over water; response to observer actions NO CHANGE","structured report claim","Supports over-water straight-flight lane, not a full trajectory reconstruction."
"speed","UAP kinetic velocity is 140 KNOTS with estimated accuracy","estimated report claim","Do not independently validate physical speed without FOV, range, platform motion, and telemetry."
"observer aircraft context","Friendly aircraft altitude 23,999FT, speed 163 KNOTS, trajectory 294, location in redacted 40RFM60 lane","platform context","Do not treat these fields as UAP altitude/speed/trajectory."
"coordinates","First coordinate redacted 40RFM60 lane with first accuracy Precise; last coordinate redacted 40QFM92 lane with last accuracy Estimated and last seen radius 5","partly preserved","Useful lane-level geospatial evidence, but exact coordinates are redacted."
"negative controls","Observer assessment benign; no interrogation; no observer engagement; no effects on persons; no recovered material; advanced capabilities/materials marked NO","useful controls","Supports unresolved benign observation lane; does not close reflection/platform/sensor explanations."
"PR29 label relationship","DVIDS PR29 names D8, but PR29 body summary matches D27 and conflicts with local/War.gov D8","official-source discrepancy","Treat DOD_111688964 as hard PR29 media and D27 as written-report content match unless an official correction appears."
"kinematic limits","Public MP4/report lack source FOV, slant range, platform/gimbal motion, raw telemetry, and exact track data","public data insufficient","Keep 140 KNOTS report-derived; no public physical-performance claim is defensible."
