"constraint_type","preserved_evidence","analytic_status","implication"
"source identity","War.gov/local D74 filename/release label is Syria November 2023; embedded PDF title/subject says DoW-UAP-D42","metadata mismatch","Use D74 filename/release identity and body content as working identity; retain D42 metadata as a caveat."
"event time","Initial contact and DoD acquisition date are 092153:00ZNOV23; event serial is 092153ZNOV2023-CENTCOM","strong preserved anchor","Useful for future video/log matching."
"mission context","Operation INHERENT RESOLVE; USCENTCOM / 609th; air ISR mission with FMV/SIGINT collection during tasking","strong contextual anchor","The UAP belongs to a Syria ISR mission, not a standalone media release."
"timeline caveat","Narrative has RTB at 1933Z, while UAP gentext says the event happened while RTB at 2153Z; handback and landing follow at 2254Z and 2319Z","minor internal timing ambiguity","Anchor analysis on the repeated UAP time 092153:00ZNOV23 and treat RTB wording as mission-phase context."
"sensor context","ISR sections list FMV as primary sensor, but no raw UAP video, frame stills, FOV, range, or telemetry are public","preserved but incomplete","Do not treat D74 as a public video-evidence case."
"location","Friendly aircraft, first coordinate, and last coordinate preserve redacted MGRS-style 37S/37D coordinate lanes","partly preserved","Supports Syria theater analysis but not exact geolocation."
"movement","Narrative reports the object came from the south near co-altitude, dropped altitude, safely passed the aircraft, and became out of range after about seven minutes","structured report claim","Supports a pass-geometry lane, not a precise kinematic reconstruction."
"speed","Kinetic velocity is 424KN with estimated accuracy; narrative says it maintained about 424KN","estimated report claim","Do not independently validate or compare physical speed without source imagery and telemetry."
"description","Gentext describes a probable UAP shaped like a bouncy ball; structured description field is mostly redacted after SHOWED AS","report-derived description","Use the shape language only as a report narrative claim, not as image-verified morphology."
"negative controls","Observer assessment benign; no emissions, interrogation, engagement, equipment/person effects, or recovered material; under intelligent control marked NO","useful but limited controls","Supports unresolved benign observation lane; does not close conventional explanations."
"video pairing","No public/local PR or DVIDS pairing found for D74, 092153ZNOV2023-CENTCOM, 424KN, or bouncy-ball anchors","no hard pair","Keep D74 document-only unless new official source metadata appears."
