"constraint_type","preserved_evidence","analytic_status","implication"
"source identity","Filename/title identify DOW-UAP-D35, Mission Report, Greece, October 2023","source identity preserved","Use D35 as source ID for PR35."
"video pairing","DVIDS PR35 identifies filename DOD_111689022 and accompanying report DoW-UAP-D35","hard public pairing","D35/PR35 is a hard media-plus-report case."
"local video identity","Local file DOD_111689022-1920x1080-9000k.mp4 matches the DVIDS filename stem and duration; three local copies share SHA-256 05FD161A5155DAF49E14E99C517CDB1B35E7491611F448DDB026D9FA0DF63D42","strong local export match","Use the base local suffixed file for PR35 work; duplicate copies add no new evidence."
"event time","Initial contact and DoD acquisition date are 290811:00ZOCT23","strong preserved anchor","Use 2023-10-29 08:11Z as the report event time."
"event serial","Event serial field is '-'","not preserved","Do not fabricate a CENTCOM serial for D35."
"mission context","USCENTCOM / 603rd; AFSOC / 33 SOS; ISR mission; LGLR takeoff and landing; target pod AN/DAS-4; primary sensor FMV","strong contextual anchor","Places the event in a structured mission report."
"sensor/media context","Report primary sensor FMV and available sensor G-MESH; PR35 is a 24-second infrared public clip with zoom/ocean/land-transition phases","strong media-context match","Supports report/video alignment but not physical kinematics."
"description","Seemingly circular, too small to make out details; flying just above ocean surface toward land","report-derived description","Use as morphology/setting lane, not size/altitude measurement."
"maneuver","Structured field says UAP Maneuverability Observations: NONE","negative maneuver evidence","D35 should not be grouped with D33 as a sharp-turn case."
"speed","Kinetic velocity is estimated 30 MPH","estimated report claim","Do not independently validate physical speed without FOV, range, platform motion, and telemetry."
"coordinates","First, last, and friendly-aircraft locations preserve redacted 35SMV3 lanes with radius 5 and estimated accuracy","partly preserved","Useful lane-level geospatial evidence, but exact coordinates are redacted."
"negative controls","Observer assessment benign; no observer engagement; no effects on persons/equipment; no recovered material; under intelligent control marked NO; signatures NONE","useful controls","Supports unresolved benign observation lane; does not close sensor/platform explanations."
"public video support","Phase review supports the DVIDS zoom/ocean-background/land-transition sequence, but detector often selects cloud, shoreline, or terrain features","visual support for sequence only","Use public MP4 for release/report alignment, not object-level kinematics."
"kinematic limits","Public report/video lack source FOV, slant range, platform/gimbal motion, raw telemetry, size, and exact track data","public data insufficient","Keep 30 MPH and trajectory report-derived unless source telemetry appears."

