"field","preserved_value","strength","use","caveat","follow_up"
"source identity","dow-uap-d61-mission-report-persian-gulf-august-2020.pdf","strong filename/source anchor","Use as D61 source identity","No public PR/video pairing known","Search official release metadata for D61 if needed"
"event date/time","271527:00ZAUG20; narrative interval 1527Z-1529Z","strong observation anchor","Use as event time and two-minute window","No frame/video timestamps public","Request FMV/sensor video for the interval"
"regional context","NAVCENT mission in Arabian Gulf / Strait of Hormuz / Gulf of Oman lane","strong mission context","Use in Gulf/Strait 2020 pattern analysis","Exact observed activity coordinates redacted/partial","Request unredacted grid context"
"mission timing","Takeoff 262307:00ZAUG20; ISR 270041:00ZAUG20 to 271840:00ZAUG20; landing 272012:00ZAUG20","strong context","Use to bound mission window","Does not identify object behavior outside 1527Z-1529Z","Request full mission timeline and sensor logs"
"sensor context","TGT pod/primary sensor OCR as ANDAS4; G-MESH/AH_GMESH available; method of observation SENSOR; FMV exploited by DGS-1","strong source context with OCR caveat","Use as sensor/source-quality anchor","Public release lacks raw FMV, sensor FOV, pointing, and platform state","Request AN/DAS-4 video, FOV, pointing, and DGS-1 exploitation notes"
"aircraft and observed grids","Aircraft partial 39RVM3; observed activity partial 39RVM8","medium geospatial anchor","Use as partial 39R Gulf/Strait lane support","Exact coordinates redacted; cannot decode full location","Request unredacted grids"
"object description","FORMATION OF UNK FLYING OBJECTS","strong descriptive anchor","Use as main D61 claim","No object count, size, shape, altitude, speed, or spacing","Request imagery/stills and exploitation notes"
"movement description","formation traveling NE-NW along the coast","medium qualitative motion anchor","Use qualitatively for pattern analysis","Not enough for physical trajectory or kinematic reconstruction","Request platform/sensor telemetry and video"
"duration","tracked for approximately 2 minutes","strong duration anchor","Use to rank D61 above other sparse D60-D65 rows","No frame-level track or reacquisition data public","Request full sensor clip"
"loss condition","PID lost in cloud cover; aircrew unable to regain PID","strong caveat","Use as end condition and control against overclaiming","Cloud loss could reflect weather/sensor limitation rather than object behavior","Request weather imagery and sensor video"
"weather","light cloud coverage prevented continuous tracking of the formation","strong caveat","Use as central confidence limiter","Does not explain initial observation by itself","Compare against weather/cloud imagery"
"unsupported claims","speed, altitude, range, object count, size, formation spacing, anomalous acceleration, exotic origin","analytic constraint","Prevent overclaiming","Public release does not preserve data needed for these claims","Promote only with raw sensor/telemetry evidence"

