"constraint_type","preserved_evidence","analytic_status","implication"
"source identity","Filename/release label is D75 Gulf of Aden July 2024; PDF metadata title/subject says DoW-UAP-D43","metadata mismatch","Use D75 filename/release identity and body content as working identity; retain D43 metadata as a caveat."
"event time","UAP observed at 140517:00ZJUL24; same time appears as DoD acquisition date","strong preserved anchor","Useful for future video/log matching."
"mission context","NAVCENT target development began 140334ZJUL24; UAP observation occurred before 140925ZJUL24 clearance; later AFCENT retask began 141041ZJUL24","strong contextual anchor","The UAP belongs to the first ISR/NAVCENT tasking, not the later AFCENT retask."
"sensor context","Primary sensor listed as FMV in mission section","preserved but incomplete","Useful sensor lane, but no raw video, frame stills, or file name is released."
"location","Narrative and structured fields preserve redacted MGRS-style 38P MT first/friendly/last coordinate lanes","partly preserved","Supports Gulf of Aden theater analysis but not exact geolocation."
"movement","Straight flight path at same altitude; estimated low altitude; estimated NW trajectory; followed until distance became too far","structured report claim","Supports a basic movement lane, not a precise kinematic reconstruction."
"speed","UAP speed was faster than observing platform flying speed; actual kinetic velocity is redacted","relative claim only","Do not calculate or compare absolute speed from the public release."
"description","Visible description stops at `UAP HAD`; Gentext box is redacted","not recoverable from released PDF","Do not infer shape, color, markings, or detailed object features."
"negative controls","No observer engagement, no effects on persons, no equipment effects, no material recovered; observer assessment benign","useful but limited controls","Supports unresolved benign observation lane; does not close conventional explanations."
"video pairing","No local or public PR/video pairing found for D75, MISREP 10194673, or 140517ZJUL24","no hard pair","Keep D75 document-only unless new official source metadata appears."

