video,release_id,report_id,sample_index,approx_second,source_frame_index,phase,dvids_anchor,candidate_x,candidate_y,dx_from_frame_center,dy_from_frame_center,bbox_w,bbox_h,area,max_luma,mean_luma,candidate_count,nearest_colored_overlay_px,overlay_relation,review_confidence,annotated_frame_path,zoom_patch_path
DOD_111689022.mp4,DOW-UAP-PR35,DoW-UAP-D35,0,0.00,0,pre-zoom/context,Before DVIDS 00:02 zoom note,1343.7,14.5,383.7,-525.5,21,10,141,235,228.9,7,487.35,separate from colored reticle/overlay,high,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/annotated-frames/frame_0000_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/object-zoom-patches/frame_0000_patch.jpg
DOD_111689022.mp4,DOW-UAP-PR35,DoW-UAP-D35,1,0.50,5,pre-zoom/context,Before DVIDS 00:02 zoom note,1334.0,10.3,374.0,-529.7,15,5,46,231,226.15,2,487.4,separate from colored reticle/overlay,high,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/annotated-frames/frame_0001_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/object-zoom-patches/frame_0001_patch.jpg
DOD_111689022.mp4,DOW-UAP-PR35,DoW-UAP-D35,2,1.00,10,pre-zoom/context,Before DVIDS 00:02 zoom note,671.6,19.7,-288.4,-520.3,6,4,19,229,227.74,3,309.75,separate from colored reticle/overlay,high,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/annotated-frames/frame_0002_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/object-zoom-patches/frame_0002_patch.jpg
DOD_111689022.mp4,DOW-UAP-PR35,DoW-UAP-D35,3,1.50,15,pre-zoom/context,Before DVIDS 00:02 zoom note,628.1,12.8,-331.9,-527.2,11,7,50,235,231.24,7,343.0,separate from colored reticle/overlay,high,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/annotated-frames/frame_0003_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/object-zoom-patches/frame_0003_patch.jpg
DOD_111689022.mp4,DOW-UAP-PR35,DoW-UAP-D35,4,2.00,20,zoom-in near center,DVIDS: 00:02 sensor narrows FOV to zoom on central area of contrast,667.1,37.7,-292.9,-502.3,11,12,79,235,230.78,9,301.03,separate from colored reticle/overlay,high,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/annotated-frames/frame_0004_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/object-zoom-patches/frame_0004_patch.jpg
DOD_111689022.mp4,DOW-UAP-PR35,DoW-UAP-D35,5,2.50,25,zoom-in near center,DVIDS: 00:02 sensor narrows FOV to zoom on central area of contrast,1089.4,956.5,129.4,416.5,23,22,297,198,195.25,8,315.61,separate from colored reticle/overlay,medium,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/annotated-frames/frame_0005_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/object-zoom-patches/frame_0005_patch.jpg
DOD_111689022.mp4,DOW-UAP-PR35,DoW-UAP-D35,6,3.00,30,ocean-background track,DVIDS: 00:03-00:19 sensor tracks area of contrast against ocean background,909.8,950.0,-50.2,410.0,11,10,85,255,246.81,7,322.6,separate from colored reticle/overlay,high,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/annotated-frames/frame_0006_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/object-zoom-patches/frame_0006_patch.jpg
DOD_111689022.mp4,DOW-UAP-PR35,DoW-UAP-D35,7,3.50,35,ocean-background track,DVIDS: 00:03-00:19 sensor tracks area of contrast against ocean background,1032.4,869.4,72.4,329.4,11,11,82,255,247.65,16,241.27,separate from colored reticle/overlay,high,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/annotated-frames/frame_0007_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/object-zoom-patches/frame_0007_patch.jpg
DOD_111689022.mp4,DOW-UAP-PR35,DoW-UAP-D35,8,4.00,40,ocean-background track,DVIDS: 00:03-00:19 sensor tracks area of contrast against ocean background,1041.9,873.0,81.9,333.0,28,16,233,255,246.86,21,242.02,separate from colored reticle/overlay,medium,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/annotated-frames/frame_0008_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/object-zoom-patches/frame_0008_patch.jpg
DOD_111689022.mp4,DOW-UAP-PR35,DoW-UAP-D35,9,4.50,45,ocean-background track,DVIDS: 00:03-00:19 sensor tracks area of contrast against ocean background,1039.2,875.1,79.2,335.1,30,17,275,255,247.96,17,243.81,separate from colored reticle/overlay,high,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/annotated-frames/frame_0009_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111689022/object-zoom-patches/frame_0009_patch.jpg
