video,artifact_type,path,note
DOD_111689011,metadata,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-video-dod_111689011-metadata.txt,source metadata
DOD_111689011,phase_track_csv,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-video-dod_111689011-phase-track.csv,phase-aligned sample table
DOD_111689011,phase_summary_csv,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-video-dod_111689011-phase-summary.csv,phase summary
DOD_111689011,annotated_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/sheets/DOD_111689011-phase-annotated-00.jpg,annotated phase-review sheet
DOD_111689011,annotated_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/sheets/DOD_111689011-phase-annotated-01.jpg,annotated phase-review sheet
DOD_111689011,annotated_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/sheets/DOD_111689011-phase-annotated-02.jpg,annotated phase-review sheet
DOD_111689011,annotated_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/sheets/DOD_111689011-phase-annotated-03.jpg,annotated phase-review sheet
DOD_111689011,annotated_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/sheets/DOD_111689011-phase-annotated-04.jpg,annotated phase-review sheet
DOD_111689011,annotated_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/sheets/DOD_111689011-phase-annotated-05.jpg,annotated phase-review sheet
DOD_111689011,annotated_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/sheets/DOD_111689011-phase-annotated-06.jpg,annotated phase-review sheet
DOD_111689011,annotated_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/sheets/DOD_111689011-phase-annotated-07.jpg,annotated phase-review sheet
DOD_111689011,annotated_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/sheets/DOD_111689011-phase-annotated-08.jpg,annotated phase-review sheet
DOD_111689011,annotated_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/sheets/DOD_111689011-phase-annotated-09.jpg,annotated phase-review sheet
DOD_111689011,annotated_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/sheets/DOD_111689011-phase-annotated-10.jpg,annotated phase-review sheet
DOD_111689011,annotated_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/sheets/DOD_111689011-phase-annotated-11.jpg,annotated phase-review sheet
DOD_111689011,annotated_contact_sheet,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/sheets/DOD_111689011-phase-annotated-12.jpg,annotated phase-review sheet
