"constraint_type","preserved_evidence","analytic_status","implication"
"source identity","Filename/release label is DoW-UAP-D54 Mediterranean Sea NA; embedded PDF title/subject says DoW-UAP-D31","metadata mismatch","Use D54 filename/release identity as working source ID; retain D31 metadata as a caveat."
"public text availability","Only final UAP page preserves useful text; preceding pages are almost entirely redacted as 1.4(a)","heavily redacted","Do not expect full date, platform, unit, event serial, sensor, or mission context from the released PDF."
"event time","Gentext preserves time of day 1319Z during RTB","partial anchor","Useful for future matching only if combined with coordinate and description."
"location","Coordinate 363453N 0255943E converts to approx 36.58138889N, 25.99527778E","strong coordinate field; analytic conversion","Places the report in the Aegean Sea / Eastern Mediterranean lane."
"description","UAP description says 1X UAP with descriptive information such as triangular and metallic; source text misspells triangular as TRIANGLUAR","report-derived description","Use as observer/report description, not image-verified morphology or material analysis."
"altitude","Gentext says 24,989FT MSL","report-derived kinematic field","Do not independently validate altitude without source imagery, platform data, and sensor geometry."
"speed","Gentext says 168KTS, about 193 mph","report-derived kinematic field","Do not independently validate speed without source imagery, range, FOV, and platform motion."
"date","Filename/title uses NA and public text does not preserve full incident date","not preserved","Timeline should retain unknown date until a better official source appears."
"sensor/video","No sensor name, raw video, frame stills, FOV, range, or platform telemetry is public; no embedded files or image objects in PDF","no public media evidence","Keep D54 document-only unless a hard official media pairing appears."
"video pairing","No public/local PR or DVIDS pairing found for D54, coordinate 363453N 0255943E, 168KTS, or triangular/metallic anchors","no hard pair","Do not infer a video pairing from the Greece/Eastern Mediterranean cluster alone."
