"constraint_type","preserved_evidence","analytic_status","implication"
"source identity","Filename/title identify DOW-UAP-D33, Mission Report, Greece, October 2023","source identity preserved","Use D33 as source ID for PR34."
"video pairing","DVIDS PR34 identifies filename DOD_111689011 and accompanying report DoW-UAP-D33","hard public pairing","D33/PR34 is a hard media-plus-report case."
"event time","Initial contact is 270035:12ZOCT23; DoD acquisition date is 270035:00ZOCT23","strong preserved anchor","Useful for future log/source matching; retain seconds mismatch as printed."
"event serial","Event serial field is '-'","not preserved","Do not fabricate a CENTCOM serial for D33."
"mission context","USCENTCOM / 603rd; AFSOC / 33 SOS; ISR mission; LGLR takeoff and OJMS landing; target pod AN/DAS-4; primary sensor FMV","strong contextual anchor","Places the event in a structured mission report."
"sensor/media context","Report primary sensor FMV and available sensor G-MESH; PR34 video shows sensor tracking, reticle designation, contrast filtering, and loss against background","strong media-context match","Supports report/video alignment but not physical kinematics."
"description","Seemingly circular, too small to make out details; flying just above ocean surface","report-derived description","Use as morphology/setting lane, not size/altitude measurement."
"maneuver","Report says multiple 90-degree turns; structured field says sharp 90-degree turns","strong report claim; partially image-plane supported","Manual track supports apparent heading changes, not true real-world turn geometry."
"speed","Kinetic velocity is estimated 80 MPH","estimated report claim","Do not independently validate physical speed without FOV, range, platform motion, and telemetry."
"coordinates","First and last coordinates preserve redacted 35SKD lanes with radius 5 and estimated accuracy","partly preserved","Useful lane-level geospatial evidence, but exact coordinates are redacted."
"negative controls","Observer assessment benign; no observer engagement; no effects on persons/equipment; no recovered material; under intelligent control marked NO","useful controls","Supports unresolved benign observation lane; does not close sensor/platform explanations."
"public video support","Local manual review retained 97 accepted marks from 4.0s-59.0s and identified seven smoothed image-plane heading changes >=60 deg","visual support for image-plane maneuvers","Supports apparent maneuvering in the public MP4; not proof of physical 90-degree turns."
"kinematic limits","Public report/video lack source FOV, slant range, platform/gimbal motion, raw telemetry, size, and exact track data","public data insufficient","Keep 80 MPH and true turn geometry report-derived unless source telemetry appears."

