video,release_id,report_id,sample_index,approx_second,source_frame_index,phase,dvids_anchor,candidate_x,candidate_y,dx_from_frame_center,dy_from_frame_center,bbox_w,bbox_h,area,max_luma,mean_luma,candidate_count,nearest_colored_overlay_px,overlay_relation,review_confidence,annotated_frame_path,zoom_patch_path
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,0,0.00,0,pre-entry/context,Before DVIDS 00:04 entry note,1827.5,1.4,867.5,-538.6,14,4,54,181,141.59,8,474.58,separate from colored reticle/overlay,medium,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/annotated-frames/frame_0000_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/object-zoom-patches/frame_0000_patch.jpg
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,1,0.50,15,pre-entry/context,Before DVIDS 00:04 entry note,1827.5,1.4,867.5,-538.6,14,4,54,181,141.7,10,474.58,separate from colored reticle/overlay,medium,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/annotated-frames/frame_0001_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/object-zoom-patches/frame_0001_patch.jpg
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,2,1.00,30,pre-entry/context,Before DVIDS 00:04 entry note,1631.2,1053.2,671.2,513.2,8,4,25,214,165.04,13,295.9,separate from colored reticle/overlay,high,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/annotated-frames/frame_0002_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/object-zoom-patches/frame_0002_patch.jpg
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,3,1.50,45,pre-entry/context,Before DVIDS 00:04 entry note,1443.5,1065.4,483.5,525.4,12,5,46,246,172.96,8,240.38,separate from colored reticle/overlay,high,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/annotated-frames/frame_0003_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/object-zoom-patches/frame_0003_patch.jpg
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,4,2.00,60,pre-entry/context,Before DVIDS 00:04 entry note,1827.3,1.4,867.3,-538.6,14,4,52,183,145.29,7,473.24,separate from colored reticle/overlay,medium,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/annotated-frames/frame_0004_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/object-zoom-patches/frame_0004_patch.jpg
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,5,2.50,75,pre-entry/context,Before DVIDS 00:04 entry note,1827.3,1.4,867.3,-538.6,14,4,52,183,145.29,7,473.24,separate from colored reticle/overlay,medium,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/annotated-frames/frame_0005_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/object-zoom-patches/frame_0005_patch.jpg
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,6,3.00,90,pre-entry/context,Before DVIDS 00:04 entry note,1827.5,1.4,867.5,-538.6,14,4,54,183,143.44,10,473.4,separate from colored reticle/overlay,medium,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/annotated-frames/frame_0006_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/object-zoom-patches/frame_0006_patch.jpg
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,7,3.50,105,pre-entry/context,Before DVIDS 00:04 entry note,1827.5,1.4,867.5,-538.6,14,4,54,183,143.44,6,474.58,separate from colored reticle/overlay,medium,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/annotated-frames/frame_0007_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/object-zoom-patches/frame_0007_patch.jpg
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,8,4.00,120,entry from bottom-left quarter,DVIDS: 00:04 area of contrast enters from bottom-left quarter,674.5,960.0,-285.5,420.0,4,5,16,216,156.38,4,219.66,separate from colored reticle/overlay,high,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/annotated-frames/frame_0008_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/object-zoom-patches/frame_0008_patch.jpg
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,9,4.50,135,entry from bottom-left quarter,DVIDS: 00:04 area of contrast enters from bottom-left quarter,1827.5,1.4,867.5,-538.6,14,4,54,181,142.91,2,,no colored reticle/overlay detected,medium,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/annotated-frames/frame_0009_annotated.jpg,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111689011/object-zoom-patches/frame_0009_patch.jpg
